Date,Time,Case,Primary Convective Type,Convective Lifecycle,Echo Type,Environment Falling In,Environment Falling In Notes,Environment Falling In Ambiguous,Partially In Precip,Falling Through Evaporating/Dissipating Stratiform,Low-level Inflow Sonde,Mid-level Inflow Sonde,Region,Associated with a TC,Primary Convective Propagation,Environment Relative to Convective Pass,Direction Relative to Convection,Sfc Pressure [mb],Sfc Height [m],PBL Top [mb],PBL Top Height [m],Freezing Level [mb],Freezing Level Height [m],Upper Level Cap [mb],Upper Level Cap Height [m],M10 Celsius Level [mb],M20 Celsius Level [mb],M30 Celsius Level [mb],PBL RH [%],Mid Layer RH [%],Upper Layer RH [%],Deep Layer RH [%],Below FZL MUCAPE [J/kg],Above FZL MUCAPE [J/kg],Deep Layer MUCAPE [J/kg],MU CIN [J/kg],MU LCL [mb],MU EL [mb],MU Max LI [degC],MU Max LI Level [mb],MU Max LI Layer,Below FZL MLCAPE [J/kg],Above FZL MLCAPE [J/kg],Deep Layer MLCAPE [J/kg],ML CIN [J/kg],ML LCL [mb],ML EL [mb],ML Max LI [degC],ML Max LI Level [mb],ML Max LI Layer,SHARPpy Direct Method PBL Speed Shear [kts],SHARPpy Direct Method PBL Directional Shear [deg],SHARPpy Direct Method Mid Layer Speed Shear [kts],SHARPpy Direct Method Mid Layer Directional Shear [deg],SHARPpy Direct Method Upper Layer Speed Shear [kts],SHARPpy Direct Method Upper Layer Directional Shear [deg],SHARPpy Direct Method Deep Layer Speed Shear [kts],SHARPpy Direct Method Deep Layer Directional Shear [deg],10mb Interval Theta Gradient PBL Top [mb],10mb Interval Theta Gradient PBL RH [%],10mb Interval Theta Gradient Mid Layer RH [%],Max Profile Height [m],500m Bottom Cap Profile Height [m],500m Bottom Cap Deep Layer Speed Shear [kts],500m Bottom Cap Deep Layer Directional Shear [deg]
20210822,5650,15,Isolated,Weakening,Convective,Clear Near,,,,,No,No,Western Atlantic,No,,,,1010.8,11.3,975.6,325.6,581.7,4640.4,399.3,7620.2,453.8,--,--,77,77.6,72.8,76.1,221.1,655.7,876.8,-27.4,948.2,--,-0.14,785.6,,168.1,556.5,724.7,-45.8,914.4,--,1.15,913.6,,2.35,71.4,13.89,113.5,19.91,268.2,13.87,245.5,,,,7642.57,501.4,19.45,253.3
20210822,10430,15,Isolated,Weakening,Convective,Clear Near,,,,,No,No,Western Atlantic,No,,,,1010.9,12.6,944,619.1,582.9,4662.9,399.3,7618.2,466.2,--,--,83.2,74.9,67.3,73.3,375.7,877.7,1253.4,-0.3,954.5,--,0.07,954.4,,217.4,680.7,898.1,-11,921.6,--,-0.24,808.5,,5.74,112.6,8.7,141,28.64,257,23.2,228.5,,,,7647.97,498,24.98,235.3
20210822,12810,15,Isolated,Weakening,Convective,In Cloud,APR image indicates that this was deployed through anvil cirrus,,,,Yes,Yes,Western Atlantic,No,,,,,,,,584.9,4634.7,398.3,7619.4,467.2,374.7,--,,,66.4,,,,,,,,,,,,,,,,,,,,,,,,34.1,254.3,,,,,,8415.33,,,
20170615,194828,4,Organized,Mature,Stratiform,In Cloud,,,,,Yes,Yes,Caribbean,No,Northward,During,Within,999.9,175.6,924.7,866.2,568.7,4935.9,403.4,7622.4,457.6,365.1,300.1,84.3,,69.5,,,724,,,,,,,,,547.5,,,,,,,,14.06,130.5,19,289.7,4.75,235.1,12,245.1,,,,11266.3,471.1,14.32,262.2
20170615,195138,4,Organized,Mature,Stratiform,In Cloud,,,,,Yes,Yes,Caribbean,No,Northward,During,Within,997.9,154.2,911.8,949.2,573.6,4795.9,401.9,7612.5,462.3,365,300.3,84.3,83.6,78,81.6,451.3,647.5,1098.8,-0.3,942.8,--,--,--,,278.8,469.9,748.7,-0.3,916.4,--,-0.02,913.9,,17.23,130.8,25.7,289,2.48,44.9,8.62,255.7,,,,11018.3,504.2,13.92,277.2
20170615,200515,4,Organized,Mature,Stratiform,In Cloud,,,,,Yes,Yes,Caribbean,No,Northward,After,South,1008.4,50.7,913.3,919.2,566.2,4888.6,401,7620.4,449.9,358.7,291.4,62.8,66.2,77.1,69.3,0,0,0,0,885,885,2.04,884.9,,0,0,0,0,858.6,858.6,3.33,858.3,,11.43,166.3,19.3,327.7,16.54,221.2,19.38,248.8,,,,11359.5,496.5,18.99,262.9
20170615,201416,4,Organized,Mature,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,,,,,571.8,4830.8,400.9,7619.6,439.8,358.9,298.2,,,82.7,,,,,,,,,,,,,,,,,,,,,,,,23.7,221,,,,,,11290.7,,,
20170616,185014,5,Organized,Mature,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,996.7,146.9,980.9,287.7,565.8,4904.9,400.6,7621.8,439.4,349.9,294.3,83.5,85,86.4,85.5,158.5,86.9,245.4,-31.5,955.8,397.8,-2.57,631.4,,70.5,11.3,81.9,-34,902.9,491.9,-1.72,631.4,,2.5,128.7,14.44,226.6,7.42,312.9,15.39,245.4,,,,9991.6,504.4,17.76,252.1
20170616,185241,5,Organized,Mature,Convective,In Precip,,,,,No,No,Caribbean,No,,,,,,,,560.1,4976.9,400,7621,438.3,354.3,293.2,,,78.5,,,,,,,,,,,,,,,,,,,,,,,,7.86,171.4,,,,,,10024.9,,,
20170616,190023,5,Organized,Mature,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,,,,,555.7,5050.3,401.5,7611.8,432.6,354,295.5,,,83.8,,,,,,,,,,,,,,,,,,,,,,,,9.65,245.1,,,,,,9947.1,,,
